No,Ticker,Company Name,Sector,Sparkline,Price,Change%,Change,PriceOpen,High,Low,ClosePrev,Gap_Pct,Gap_Flag,Volume,Vol_Avg,Vol_Ratio,Vol_Flag,Daily_Range_Pct,Vol_Level,MarketCap,PE,PE_Grade,EPS,Beta,52W High,52W Low,Dist to 52W High,Dist_52W_Low,52W_Range_Pct,Range_Signal,MA20,MA50,MA200,Support,Breakout,Reversal,BSJP,Signal,Trend,Score,Score v2,Rank,Final_Signal,SL_Practical,TP_Target,RR_Ratio,ATR14,ATR %,RSI14,RSI Signal,Status,Volume_Flag,Liquidity_Score,Momentum_Score,ARA_Score,ARA_Dist_Pct,ARA_Stage,Gap_Score,Last Update,Clean Ticker
,IDX:CMPP,AirAsia Indonesia Tbk.,Transportation & Logistics,,71,0,0,71,71,71,71,0,➡️ FLAT OPEN,0,149427,0,NORMAL,0,💤 LOW,758643520000,,—,-86.14,,128,65,-44.53125,9.23,9.52,🟢 NEAR BOTTOM,72.14285714,73.70967742,86.55813953,68.25,,,🟡 HOLD,HOLD,SIDEWAYS,23,31.42,🔥 Watchlist,✅ CONFIRM BUY,69.84,85,—,,,,,🟢 ACTIVE,📉 LOW,,,1/17/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CMPP
,IDX:CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals,,4490,-0.44,0,4500,4570,4460,4500,0,➡️ FLAT OPEN,130400,2967133,0.04,NORMAL,2.45,💤 LOW,35547375360000,16.86,FAIR,265.66,,6450,4010,-30.3875969,12.22,20.08,🟡 LOWER HALF,4330.714286,4515.483871,4968.333333,4210.5,,,🟡 HOLD,HOLD,SIDEWAYS,45,23.24,⚠️ AVOID,✅ CONFIRM BUY,4223.38,5137,2.43,,,,,🟢 ACTIVE,📉 LOW,,,1/27/1900 0:00:00,1/19/1900 4:48:00,⬇️ RED,➖ FLAT,2026-06-24 10:17:31,CMRY
,IDX:CNKO,Exploitasi Energi Indonesia Tb,Energy,,37,0,0,37,,,37,0,➡️ FLAT OPEN,805400,15924130,0.05,NORMAL,,—,331385357000,1.75,CHEAP,21.16,,127,28,-70.86614173,39.29,11.11,🟢 NEAR BOTTOM,37.71428571,43.03225806,58.62790698,29.4,,,🟡 HOLD,HOLD,SIDEWAYS,28,43,🔥 Watchlist,➖ NEUTRAL,37.12,44,,,,,,🟢 ACTIVE,📉 LOW,,,1/27/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CNKO
,IDX:CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals,,85,0,0,86,86,84,85,1.18,➡️ FLAT OPEN,7902600,15617190,0.51,NORMAL,2.35,💤 LOW,7084325000000,9.25,CHEAP,9.3,,160.78,80,-47.13272795,6.25,6.19,🟢 NEAR BOTTOM,87.78571429,93.80645161,108.2015504,84,,,🟡 HOLD,HOLD,SIDEWAYS,33,32.98,🔥 Watchlist,❌ AVOID,85.55,102,,,,,,🟢 ACTIVE,📉 LOW,,,12/30/1899 0:00:00,1/24/1900 21:36:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CNMA
,IDX:CNTX,Century Textile Industry Tbk.,Consumer Cyclicals,,142,0,0,,,,142,-100,⬇️ GAP DOWN,0,,,ILLIQUID,,—,,,—,,,142,142,0,0,,—,,,,149.1,,,🟡 HOLD,HOLD,SIDEWAYS,23,10,⚠️ AVOID,➖ NEUTRAL,132.06,142,0,,,,,🟢 ACTIVE,🔥 EXTREME,,,2/23/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,📉 GAP DOWN,2026-06-24 10:17:31,CNTX
,IDX:COAL,Black Diamond Resources Tbk.,Energy,,24,8.33,0,26,,26,24,8.33,⬆️ GAP UP,5288500,108175390,0.05,NORMAL,,—,162500000000,,—,-1.16,,148,22,-83.78378378,4.35,0.8,🟢 NEAR BOTTOM,36.57142857,46.12903226,71.5390625,23.1,,,🔵 BUY,STRONG_BUY,UP,35,67.72,⭐ Strong Buy,✅ CONFIRM BUY,36.47,29,,,,,,🟢 ACTIVE,📉 LOW,,,2/24/1900 0:00:00,1/24/1900 21:36:00,🟡 MOMENTUM,📈 GAP UP,2026-06-24 10:17:31,COAL
,IDX:COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals,,202,6.88,13,193,212,193,189,2.12,➡️ FLAT OPEN,21515100,47242707,0.46,NORMAL,9.41,🌋 VERY HIGH,719009910000,,—,-281.91,,570,53.88,-64.56140351,245.21,25.6,🟡 LOWER HALF,188.0714286,246.3548387,326.751938,56.574,,,🟡 HOLD,STRONG_BUY,UP,54,48.71,🔥 Watchlist,✅ CONFIRM BUY,185.4,242,2.41,,,,,🟢 ACTIVE,📉 LOW,,,2/15/1900 0:00:00,1/19/1900 19:12:00,🟡 MOMENTUM,➖ FLAT,2026-06-24 10:17:31,COCO
,IDX:COIN,Indokripto Koin Semesta Tbk.,Technology,,790,9.52,65,740,865,740,735,0.68,➡️ FLAT OPEN,14007200,7286763,1.92,NORMAL,15.82,🌋 VERY HIGH,11617645200000,377.76,OVERVALUED,2.12,,4800,135,-83.54166667,437.04,12.65,🟢 NEAR BOTTOM,753.9285714,879.3548387,1972.44186,141.75,,,🟡 HOLD,STRONG_BUY,UP,59,62.52,⭐ Strong Buy,❌ AVOID,728.47,948,2.57,,,,,🟢 ACTIVE,📊 NORMAL,,,3/8/1900 0:00:00,1/13/1900 0:00:00,🟡 MOMENTUM,➖ FLAT,2026-06-24 10:17:31,COIN
,IDX:COWL,Cowell Development Tbk.,Property & Real Estate,,50,0,0,,,,50,-100,⬇️ GAP DOWN,0,,,ILLIQUID,,—,,,—,,,50,50,0,0,,—,,,,52.5,,,🟡 HOLD,HOLD,SIDEWAYS,23,10,⚠️ AVOID,➖ NEUTRAL,46.5,50,0,,,,,🟢 ACTIVE,🔥 EXTREME,,,2/23/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,📉 GAP DOWN,2026-06-24 10:17:31,COWL
,IDX:CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,,3200,1.59,30,3190,3210,3170,3150,1.27,➡️ FLAT OPEN,1133200,13494197,0.08,NORMAL,1.25,💤 LOW,52309620000000,7.8,CHEAP,407.45,,5375,3080,-40.46511628,2.92,3.92,🟢 NEAR BOTTOM,3334.285714,3793.548387,4211.705426,3234,,,🔵 BUY,BUY,SIDEWAYS,32,33.04,🔥 Watchlist,➖ NEUTRAL,3279.89,3840,,,,,,🟢 ACTIVE,📉 LOW,,,1/5/1900 0:00:00,1/17/1900 16:48:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CPIN
,IDX:CPRI,Capri Nusa Satu Properti Tbk.,Property & Real Estate,,50,0,0,,,,50,-100,⬇️ GAP DOWN,0,,,ILLIQUID,,—,121669000000,,—,,,50,50,0,0,,—,,,,52.5,,,🟡 HOLD,HOLD,SIDEWAYS,23,10,⚠️ AVOID,➖ NEUTRAL,46.5,50,0,,,,,🟢 ACTIVE,🔥 EXTREME,,,2/23/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,📉 GAP DOWN,2026-06-24 10:17:31,CPRI
